00795799TROSGNISTAN MISSION              IS TD01N130222                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378130222                                                        
40                  10027730000000010000       1000000000064135698              
40                  10133740000000020000       1000805708568024983              
40                  10151710000000120000       1001066943068150737              
40                  10163770000000020000       1001066943068158456              
40                  10364740000000050000       1000000000064012679              
40                  10392700000000040000       1000000000063045238              
40                  10426700000000020000       1000000000061033404              
40                  10497740000000020000       1000000000061056353              
40                  10623710000000020000       1000000000037503779              
40                  10786740000000150000       1000000000064005844              
40                  10800760000000022500       1000000000032100197              
40                  10876750000000025000       1000000000061057525              
40                  11293780000000005000       1000000000064045402              
40                  11376780000000050000       1000000000063017413              
40                  11586740000000020000       1000805708568191131              
40                  11592760000000020000       1001101971868228474              
40                  11733760000000020000       1000000000063059488              
40                  11739700000000020000       1000000000063080725              
40                  11892730000000042500       1000000000036816616              
40                  11902710000000040000       1000000000061090727              
40                  11963770000000022500       1004665751636832968              
40                  12087760000000020000       1000000000064160363              
40                  12102770000000015000       1000000000061058131              
40                  12122730000000010000       1000000000037505787              
40                  12325780000000020000       1000000000064078360              
40                  12441770000000050000       1000000000061090685              
40                  12580780000000020000       1000000000061032439              
40                  12690750000000020000       1000805708568048870              
40                  12807750000000020000       1000000000061053944              
40                  12897760000000020000       1000000000036833253              
40                  12922750000000052500       1000000000063040713              
40                  12967710000000020000       1000000000064055515              
40                  12985790000000020000       1000000000064137715              
40                  13107700000000020000       1000000000064147317              
40                  13120730000000040000       1000000000037517787              
40                  13168760000000060000       1000000000063054749              
40                  13425750000000040000       1000000000036818419              
40                  13580760000000040000       1004460366068143606              
40                  13789750000000020000       1000000000064089146              
40                  13789750000000020000       1000000000064089147              
40                  13897740000000015000       1000000000063053911              
40                  14062710000000020000       1000000000064061005              
40                  14287700000000020000       1000000000064012717              
40                  14680730000000020000       1000000000063041219              
40                  14750780000000020000       1001066943068151157              
40                  14812740000000030000       1000000000064062501              
40                  15204770000000040000       1000000000061075514              
40                  15313750000000020000       1000805708568051272              
40                  15334700000000020000       1000000000064132554              
40                  16101790000000040000       1000000000064064167              
40                  16500760000000010000       1000000000061016000              
40                  16841740000000020000       1000805708568038745              
40                  16904780000000040000       1000000000033033068              
40                  17525750000000020000       1004460366068113417              
40                  17631760000000020000       1004460366068112193              
40                  18055710000000020000       1000000000037505429              
40                  18082780000000020000       1000000000032126276              
40                  18118760000000020000       1000805708568023321              
40                  18304700000000020000       1000000000061021642              
40                  18371780000000015000       1001075985068193669              
40                  18419720000000020000       1000000000033003458              
40                  18556750000000030000       1000000000063005814              
40                  18613760000000020000       1000000000063003635              
40                  18613760000000020000       1000000000063003636              
40                  18837760000000020000       1000805708568022475              
40                  19769760000000020000       1000000000064156592              
50795799   90073781302220000066000000001865000                                  
90795799          1302220000066000000001865000                                  
