00795799TROSGNISTAN MISSION              IS TD01N150807     
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  18883790000000040000
40                  13724730000000020000
40                  18895750000000020000
40                  12511720000000120000
40                  11480710000000020000
40                  11893720000000010000
40                  10829730000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
