00795799TROSGNISTAN MISSION              IS TD01N140228                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140228                                                        
40                  10009750000000020000       1004460366069732032              
40                  10019730000000020000       1000805708508392304              
40                  10021790000000020000       1004460366069822673              
40                  10026740000000020000       1000805708508406046              
40                  10038700000000020000       1004460366008269981              
40                  10045710000000040000       1000805708568835276              
40                  10047790000000020000       1000000000064149260              
40                  10062790000000020000       1000805708568328369              
40                  10071780000000020000       1004460366069873394              
40                  10074750000000060000       1000805708569156814              
40                  10079700000000040000       1000805708568862764              
40                  10081760000000090000       1000805708568853017              
40                  10093720000000020000       1000000000063089861              
40                  10097780000000020000       1000805708568357332              
40                  10106770000000020000       1000805708568796144              
40                  10122770000000025000       1000805708508408912              
40                  10125740000000020000       1000805708568792030              
40                  10143720000000010000       1000000000064041434              
40                  10164760000000020000       1000805708568523481              
40                  10177710000000020000       1000805708569000770              
40                  10183730000000020000       1001075985009122424              
40                  10189770000000020000       1000805708568686130              
40                  10221770000000020000       1000805708569167631              
40                  10229790000000020000       1001066943008471557              
40                  10241730000000040000       1004460366008211980              
40                  10252790000000038000       1004460366008171335              
40                  10258730000000060000       1004460366008211338              
40                  10272750000000020000       1000000000064100449              
40                  10277700000000050000       1004460366069934417              
40                  10290730000000090000       1000805708568457960              
40                  10298750000000020000       1000000000061116548              
40                  10308730000000060000       1000856181369369310              
40                  10323740000000022500       1000000000061082502              
40                  10327700000000030000       1004452863609318004              
40                  10328790000000020000       1004460366069796111              
40                  10341720000000045000       1000805708568712125              
40                  10372740000000020000       1004460366008134392              
40                  10373730000000020000       1004452863609273209              
40                  10380740000000020000       1004460366008232869              
40                  10383710000000020000       1000856181369369298              
40                  10405750000000020000       1004452863609220351              
40                  10429770000000040000       1000805708508376461              
40                  10442700000000040000       1004460366069841785              
40                  10446760000000020000       1000000000063066009              
40                  10454750000000020000       1000000000063063532              
40                  10457720000000020000       1004460366009355881              
40                  10460770000000020000       1004460366008356463              
40                  10464730000000020000       1000805708568679870              
40                  10467700000000040000       1001075985009117445              
40                  10470750000000020000       1000805708568593338              
40                  10508710000000060000       1001121996109153246              
40                  10509700000000020000       1000805708568298260              
40                  10524710000000020000       1000000000034144161              
40                  10533700000000080000       1000856181369369311              
40                  10537760000000020000       1000805708568638303              
40                  10539740000000040000       1000805708568308563              
40                  10555730000000020000       1000000000034136256              
40                  10575790000000020000       1000805708569128044              
40                  10581710000000020000       1004460366069773414              
40                  10585770000000020000       1000000000063255268              
40                  10611750000000070000       1000805708568289454              
40                  10616700000000020000       1000805708568629106              
40                  10617790000000020000       1004460366069811374              
40                  10627770000000030000       1001066943008493553              
40                  10641790000000050000       1000805708568276272              
40                  10642780000000042500       1000805708568291021              
40                  10651760000000025000       1001075985009107021              
40                  10656710000000020000       1000805708568742731              
40                  10658790000000020000       1000000000064194091              
40                  10662730000000040000       1000805708568734888              
40                  10665700000000020000       1004460366008271229              
40                  10677760000000040000       1000000000064044218              
40                  10681700000000020000       1000000000064117425              
40                  10683780000000040000       1000805708568783128              
40                  10685760000000020000       1000805708568315643              
40                  10689720000000020000       1004460366069755961              
40                  10697720000000020000       1004460366069811483              
40                  10706710000000020000       1001066943008505326              
40                  10716790000000030000       1000805708568311114              
40                  10719760000000020000       1004452863609265963              
40                  10720730000000020000       1004275012569686092              
40                  10734770000000020000       1000805708568274207              
40                  10737740000000020000       1001075985009124232              
40                  10738730000000020000       1001075985009086754              
40                  10756700000000020000       1000000000063085078              
40                  10768760000000020000       1000000000064203076              
40                  10769750000000020000       1000805708568788786              
40                  10770720000000029000       1001066943008928458              
40                  10775770000000020000       1004460366069741762              
40                  10797710000000020000       1000856181369369282              
40                  10799790000000020000       1000856181369369274              
40                  10837730000000020000       1000805708568499800              
40                  10855700000000020000       1000856181369369278              
40                  10866770000000020000       1004460366069878384              
40                  10888710000000030000       1001066943008633588              
40                  10890770000000020000       1000805708568034038              
40                  10892750000000010000       1001066943008721763              
40                  10904710000000020000       1000805708568667337              
40                  10913700000000020000       1000856181369369283              
40                  10915780000000020000       1000000000063097485              
40                  10917760000000020000       1000805708568677067              
40                  10918750000000020000       1000805708568432910              
40                  10920710000000040000       1000805708568909936              
40                  10926750000000020000       1000856181369369294              
40                  10990760000000030000       1000000000063188086              
40                  10991750000000055000       1000000000064109749              
40                  11000720000000020000       1000805708568695204              
40                  11003790000000020000       1000805708568849894              
40                  11007750000000040000       1000805708568552665              
40                  11010700000000020000       1000805708568139319              
40                  11019710000000020000       1000000000063153347              
40                  11036700000000010000       1000000000064153660              
40                  11038780000000020000       1004452863609281706              
40                  11051700000000040000       1001066943008933274              
40                  11056750000000020000       1000805708568582906              
40                  11067720000000010000       1004460366069788402              
40                  11073740000000020000       1000805708568082270              
40                  11122750000000020000       1001066943008856148              
40                  11190720000000020000       1000000000034237335              
40                  11191710000000040000       1000805708568699561              
