00795799TROSGNISTAN MISSION              IS TD01N140120                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140120                                                        
40                  10096790000000040000       1000000000034114751              
40                  10133740000000020000       1000805708568083011              
40                  10194700000000032500       1000000000034224405              
40                  10198760000000020000       1000805708568037847              
40                  10283720000000020000       1000805708568021347              
40                  10297760000000120000       1000000000063013654              
40                  10461760000000020000       1004460366068231715              
40                  10481720000000070000       1004460366068176786              
40                  10633790000000030000       1001066943068242957              
40                  10795730000000020000       1000805708568017716              
40                  10922790000000020000       1000000000034224406              
40                  10956780000000020000       1000805708568096699              
40                  11358700000000010000       1000805708568018413              
40                  11394760000000020000       1000000000061060120              
40                  11442780000000020000       1000023767768000900              
40                  11479740000000020000       1004460366068193551              
40                  11512730000000020000       1000805708568057151              
40                  11586740000000020000       1000805708568035772              
40                  11595730000000020000       1001066943068262754              
40                  11625770000000020000       1001066943068255650              
40                  11813790000000020000       1000000000064029713              
40                  11834740000000010000       1000805708568047937              
40                  11936710000000020000       1000000000063059467              
40                  12092790000000020000       1000000000063059983              
40                  12177770000000020000       1000805708568017033              
40                  12190700000000010000       1004460366068220605              
40                  12214720000000060000       1001066943068249777              
40                  12415790000000040000       1000000000063039401              
40                  12957730000000020000       1000805708568050196              
40                  12993790000000240000       1001075985068312379              
40                  13314790000000020000       1000805708568037005              
40                  13315780000000020000       1000805708568039320              
40                  13480770000000010000       1004460366068174704              
40                  13601710000000020000       1004460366068207046              
40                  13739760000000020000       1001066943068248769              
40                  13746770000000010000       1000000000063017086              
40                  13831730000000020000       1001066943068246934              
40                  14477700000000010000       1000805708568073415              
40                  14631730000000060000       1001076910768169439              
40                  14736770000000020000       1000000000034105454              
40                  15514720000000020000       1000805708568110538              
40                  16848770000000020000       1004460366068176591              
40                  17239720000000020000       1001066943068263605              
40                  17272700000000020000       1000805708568096853              
40                  17328740000000050000       1004275012568169914              
40                  17631760000000020000       1004460366068175792              
40                  17809720000000240000       1004460366068199852              
40                  18181780000000020000       1000805708568048790              
40                  18377720000000040000       1000000000064008124              
50795799   90073781401200000049000000001702500                                  
90795799          1401200000049000000001702500                                  
