00795799TROSGNISTAN MISSION              IS TD01N150825              
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  17067790000000010000
40                  10520750000000020000
40                  14313780000000010000
40                  10074750000000020000
40                  13255700000000020000
40                  10062790000000020000
40                  14814720000000020000
40                  11044700000000020000
40                  13954740000000020000
40                  18054720000000010000
40                  15516700000000020000
40                  12162740000000020000
40                  11357710000000100000
40                  10437770000000010000
40                  14141760000000040000
40                  12657760000000020000
40                  14070710000000040000
40                  19673710000000015000
40                  18378710000000020000
40                  12239730000000030000
40                  11824760000000140000
40                  12690750000000020000
40                  10794740000000060000
40                  16129770000000020000
40                  10044720000000020000
40                  13011750000000010000
40                  12501740000000020000
40                  14363770000000020000
40                  13209770000000020000
40                  16816750000000025000
40                  12540770000000030000
40                  14109760000000020000
40                  15153780000000040000
40                  12100790000000020000
40                  10461760000000020000
40                  18678780000000040000
40                  10754720000000020000
40                  18188710000000020000
40                  13302730000000022500
40                  10170780000000020000
40                  18418730000000020000
40                  17926700000000020000
40                  15536760000000020000
40                  14016780000000035000
40                  11806780000000030000
40                  10589730000000010000
40                  18839740000000080000
40                  12099720000000020000
40                  13120730000000040000
40                  13677700000000040000
40                  13920750000000005000
40                  13204720000000020000
40                  18424750000000015000
40                  13252730000000040000
40                  14203710000000020000
40                  13805750000000020000
40                  12419750000000020000
40                  12422700000000020000
40                  14878750000000020000
40                  13905740000000190000
40                  15527770000000020000
40                  13490750000000020000
40                  18723730000000020000
40                  14697740000000010000
40                  14652770000000030000
40                  15861710000000010000
40                  15861710000000010000
40                  11185790000000040000
40                  15343790000000020000
40                  14103720000000020000
40                  14812740000000030000
40                  10634780000000055000
40                  10990760000000030000
40                  10990760000000030000
40                  17989740000000020000
40                  13425750000000040000
40                  10039790000000020000
40                  16124720000000070000
40                  14680730000000020000
40                  16837700000000010000
40                  12975710000000020000
40                  12726730000000020000
40                  14561770000000020000
40                  12682750000000020000
40                  13168760000000060000
40                  13437710000000070000
40                  10499720000000020000
40                  11677740000000010000
40                  11152780000000110000
40                  15334700000000020000
40                  17212730000000070000
40                  13652790000000020000
40                  10667780000000005000
40                  12981730000000060000
40                  13858710000000065000
40                  15364730000000020000
40                  10297760000000120000
40                  11733760000000020000
40                  10454750000000020000
40                  15316720000000025000
40                  15316720000000025000
40                  11944710000000020000
40                  18170710000000035000
40                  13883700000000070000
40                  13283760000000020000
40                  13834700000000020000
40                  13632740000000020000
40                  13809710000000020000
40                  15274720000000025000
40                  12395730000000020000
40                  12913760000000020000
40                  17058700000000020000
40                  16265710000000095000
40                  11892730000000042500
40                  14226740000000020000
40                  14986740000000020000
40                  12160760000000010000
40                  13612780000000020000
40                  12186760000000020000
40                  16121750000000020000
40                  17222710000000020000
40                  19664720000000020000
40                  13667720000000040000
40                  18645780000000060000
40                  10765790000000040000
40                  13538790000000010000
40                  10359710000000080000
40                  13071720000000020000
40                  13071720000000020000
40                  18287710000000050000
40                  19745750000000080000
40                  13103740000000040000
40                  13407770000000040000
40                  15413740000000030000
40                  10453760000000020000
40                  17213720000000110000
40                  12928790000000020000
40                  17480780000000020000
40                  15586750000000020000
40                  10002720000000035000
40                  11921780000000020000
40                  11288310000000080000          
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
