00795799TROSGNISTAN MISSION              IS TD01N131030                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378131030                                                        
40                  10009750000000020000       1004460366068508518              
40                  10051720000000020000       1004452863669000350              
40                  10105780000000030000       1000000000036836073              
40                  10113780000000020000       1004460366068524322              
40                  10156760000000020000       1000805708569037094              
40                  10164760000000020000       1000805708568071859              
40                  10177710000000020000       1000805708568262094              
40                  10182740000000005000       1000805708568191733              
40                  10212780000000080000       1000000000061072956              
40                  10226720000000040000       1000805708568008041              
40                  10235710000000020000       1004460366068618121              
40                  10241730000000040000       1004460366068651557              
40                  10245790000000020000       1000000000063357650              
40                  10259720000000020000       1000000000064139527              
40                  10267720000000040000       1004662307036845790              
40                  10321760000000020000       1000805708568112830              
40                  10336790000000020000       1000805708568201243              
40                  10341720000000045000       1000805708568114045              
40                  10344790000000020000       1000000000063381516              
40                  10349740000000040000       1000000000064203661              
40                  10373730000000020000       1004452863668972057              
40                  10385790000000020000       1000000000064245203              
40                  10388760000000025000       1000000000063281776              
40                  10391710000000020000       1000805708568024651              
40                  10410780000000040000       1000000000061062272              
40                  10448740000000020000       1000000000063336140              
40                  10457720000000020000       1004460366068560163              
40                  10487760000000020000       1000000000063137931              
40                  10521740000000040000       1000805708568261333              
40                  10531720000000020000       1001066943068859781              
40                  10539740000000040000       1000805708568042840              
40                  10544770000000020000       1000000000064200212              
40                  10611750000000070000       1000805708568040503              
40                  10617790000000020000       1004460366068530407              
40                  10651760000000025000       1001075985068924395              
40                  10662730000000020000       1000805708568126770              
40                  10689720000000020000       1004460366068514889              
40                  10707700000000020000       1004460366068663323              
40                  10720730000000020000       1004275012568497128              
40                  10734770000000020000       1000805708568038453              
40                  10736750000000020000       1000000000063281777              
40                  10738730000000020000       1001075985068920088              
40                  10746730000000010000       1000000000063230165              
40                  10784760000000025000       1000000000036823691              
40                  10786740000000150000       1000000000063178593              
40                  10803730000000020000       1000000000063150975              
40                  10824780000000020000       1000805708568073689              
40                  10855700000000020000       1000856181368403675              
40                  10874770000000020000       1000805708568217365              
40                  10909760000000020000       1000000000063116494              
40                  10922790000000020000       1000000000033061057              
40                  10987710000000020000       1001075985068920137              
40                  10990760000000030000       1000000000061150390              
40                  10999770000000040000       1000000000064058178              
40                  11001710000000020000       1000805708568021726              
40                  11050710000000120000       1004460366069001536              
40                  11062770000000020000       1000805708568306940              
40                  11063760000000012500       1000000000064319066              
40                  11126710000000040000       1000805708568083839              
40                  11134710000000020000       1000923397436815200              
40                  11143700000000020000       1000000000063020952              
40                  11166720000000120000       1000805708568117661              
40                  11192700000000105000       1000000000064297030              
40                  11200700000000070000       1000000000061072068              
40                  11205750000000020000       1004460366068585612              
40                  11222740000000020000       1000805708568270950              
40                  11230740000000020000       1009232293269030827              
40                  11232720000000020000       1001066943068757986              
40                  11236780000000020000       1000000000036841656              
40                  11239750000000060000       1000000000063338139              
40                  11254750000000020000       1000000000061090995              
40                  11261760000000020000       1000776045736813582              
40                  11261760000000020000       1000776045736813583              
40                  11291700000000020000       1000000000063186902              
40                  11353750000000020000       1000805708569041675              
40                  11354740000000130000       1000000000063382072              
40                  11361750000000010000       1001681530036817767              
40                  11412740000000037500       1000805708568169776              
40                  11530710000000020000       1000000000061015186              
40                  11555710000000040000       1000805708568131814              
40                  11570720000000035000       1000000000064214895              
40                  11606700000000020000       1000805708568016859              
40                  11628740000000025000       1001066943068778029              
40                  11629730000000020000       1000805708568336723              
40                  11649790000000040000       1000805708568239353              
40                  11670710000000020000       1000856181368403678              
40                  11690770000000020000       1001066943068851418              
40                  11694730000000020000       1001066943068759039              
40                  11710730000000020000       1000805708568119396              
40                  11716770000000020000       1000000000061025707              
40                  11716770000000020000       1000000000061025708              
40                  11725760000000100000       1004452863668952048              
40                  11765770000000040000       1000805708568735804              
40                  11833750000000020000       1000805708568027748              
40                  11870790000000025000       1000000000064226152              
40                  11972760000000040000       1000000000061185641              
40                  11988780000000020000       1000000000061104105              
40                  11994700000000040000       1001066943068886178              
40                  12001790000000040000       1000000000032201240              
40                  12007730000000020000       1000805708568011066              
40                  12018700000000020000       1004460366068658058              
40                  12036780000000020000       1000000000062007112              
40                  12108710000000065000       1000805708568116362              
40                  12113740000000020000       1000805708568004522              
40                  12162740000000020000       1000805708568082443              
40                  12184780000000030000       1004452863668960762              
40                  12199710000000020000       1000805708568111285              
40                  12223710000000045000       1000000000061134677              
40                  12245750000000020000       1004460366068686797              
40                  12274790000000005000       1000000000063058806              
40                  12283780000000062500       1000805708568145480              
40                  12286750000000040000       1000805708568031478              
40                  12308790000000020000       1000805708568156822              
40                  12323700000000020000       1004275012568495699              
40                  12360740000000020000       1001075985068926466              
40                  12361730000000190000       1004275012568492983              
40                  12362720000000170000       1004275012568492982              
40                  12383770000000140000       1000805708568084448              
40                  12391770000000020000       1000000000037545160              
40                  12458770000000020000       1000000000063048481              
40                  12478730000000050000       1000805708568118963              
40                  12501740000000020000       1000856181368403674              
40                  12512710000000090000       1000856181368403684              
40                  12543740000000020000       1000000000063209460              
40                  12565770000000020000       1004547445936845239              
40                  12573770000000020000       1001066943068892913              
40                  12606780000000020000       1004460366068513994              
40                  12613790000000050000       1001075985068925249              
40                  12617750000000020000       1000805708568027666              
40                  12636720000000030000       1000000000063091656              
40                  12641750000000050000       1001066943068793238              
40                  12688790000000055000       1000000000064193128              
40                  12715760000000040000       1001066943068798005              
40                  12737700000000030000       1000805708568033822              
40                  12740750000000040000       1000000000036834665              
40                  12768720000000035000       1000000000064215623              
40                  12777710000000030000       1004452863668964394              
40                  12818720000000020000       1000000000063110524              
40                  12922750000000052500       1000000000061126235              
40                  12937780000000030000       1000000000061098058              
40                  12949740000000020000       1000000000061228999              
40                  12989750000000002500       1000000000064219439              
40                  12989750000000002500       1000000000064219440              
40                  13004740000000060000       1000000000064341146              
40                  13005730000000070000       1000000000064341147              
40                  13017790000000040000       1000000000063054271              
40                  13019770000000055000       1001066943068751419              
40                  13020740000000035000       1000805708568214722              
40                  13085760000000020000       1000805708568200110              
40                  13101760000000020000       1001066943068794182              
40                  13104730000000020000       1004368741769016796              
40                  13107700000000020000       1000000000061041687              
40                  13151750000000010000       1001066943068839323              
40                  13230700000000020000       1004460366068622053              
40                  13235750000000010000       1000000000064276133              
40                  13266770000000022500       1000000000063049512              
40                  13378720000000050000       1000000000064151696              
40                  13437710000000070000       1000000000063198928              
40                  13522770000000020000       1000805708568022855              
40                  13537700000000020000       1004460366068554908              
40                  13540750000000100000       1001066943068860168              
40                  13554780000000020000       1004460366068661715              
40                  13585710000000005000       1000805708568322995              
40                  13587790000000025000       1004275012568491132              
40                  13631750000000020000       1000000000061144669              
40                  13658730000000060000       1004275012568501430              
40                  13688770000000065000       1004460366068578869              
40                  13729780000000020000       1004460366068692765              
40                  13777790000000020000       1000805708568009837              
40                  13847750000000020000       1000805708568026034              
40                  13856730000000010000       1000000000037532577              
40                  13856730000000010000       1000000000037532582              
40                  13877780000000080000       1004460366068659536              
40                  13883700000000070000       1000000000032215044              
40                  13903760000000020000       1001066943068893503              
40                  14004720000000020000       1000000000064034615              
40                  14047710000000020000       1001066943068804714              
40                  14048700000000010000       1000805708568158138              
40                  14088710000000020000       1000805708568163057              
40                  14153710000000020000       1000000000063343225              
40                  14154700000000080000       1004717276236817008              
40                  14177730000000020000       1000000000032102238              
40                  14216760000000020000       1000000000063056057              
40                  14220700000000040000       1000805708568182711              
40                  14236720000000020000       1000000000064220269              
40                  14262790000000060000       1000805708568710816              
40                  14286710000000020000       1001066943068798435              
40                  14301720000000020000       1004452863668997591              
40                  14377710000000017500       1000805708568251648              
40                  14459720000000020000       1000805708568173239              
40                  14505760000000020000       1000000000061160838              
40                  14575710000000020000       1001066943068884538              
40                  14578780000000020000       1000805708568115454              
40                  14589750000000020000       1004460366068535071              
40                  14595770000000040000       1000000000063040777              
40                  14598740000000020000       1000805708568015578              
40                  14633710000000020000       1000000000064314499              
40                  14638760000000030000       1000856181368403681              
40                  14647750000000040000       1000805708568091535              
40                  14727780000000030000       1000856181368403680              
40                  14728770000000020000       1000805708568143629              
40                  14742790000000010000       1000000000061224924              
40                  14762740000000042500       1000000000063148594              
40                  14798720000000020000       1004460366068652564              
40                  14916790000000020000       1000805708568158314              
40                  14961730000000010000       1000000000064303180              
40                  15036710000000020000       1000856181368403679              
40                  15053790000000020000       1000000000064276991              
40                  15053790000000020000       1000000000064276992              
40                  15123750000000040000       1000000000064131469              
40                  15123750000000040000       1000000000064131474              
40                  15131750000000020000       1000805708568200111              
40                  15151700000000020000       1000000000064155633              
40                  15199740000000020000       1000000000064123523              
40                  15255750000000020000       1001101971869052655              
40                  15278780000000040000       1001066943068822760              
40                  15282720000000020000       1000000000063204344              
40                  15312760000000005000       1000000000064213485              
40                  15482700000000020000       1004460366068567139              
40                  15635760000000020000       1004460366068527825              
40                  15654720000000020000       1001066943068845775              
40                  15716780000000020000       1000000000064038101              
40                  15939790000000020000       1000000000037541850              
40                  16101790000000020000       1000000000064172711              
40                  16137770000000050000       1000000000063127244              
40                  16164730000000020000       1001066943068842500              
40                  16174710000000020000       1000000000061197158              
40                  16205740000000020000       1000000000061152479              
40                  16205740000000020000       1000000000061152480              
40                  16346740000000030000       1000000000063202198              
40                  16363720000000020000       1000000000064223903              
40                  16378750000000100000       1000805708568113790              
40                  16460740000000015000       1000000000063044478              
40                  16697790000000020000       1000000000063204366              
40                  16743730000000020000       1000000000032218229              
40                  16772770000000020000       1000000000064123963              
40                  16783740000000020000       1000000000064154256              
40                  16786710000000020000       1001066943068754528              
40                  16800730000000040000       1001066943068741947              
40                  16805780000000020000       1000000000064319135              
40                  16824750000000040000       1004460366068614099              
40                  16879790000000022500       1001066943068792902              
40                  17063730000000070000       1000805708568136928              
40                  17118780000000020000       1000000000063332754              
