00795799TROSGNISTAN MISSION              IS TD01N150727      
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  10182740000000005000
40                  17067790000000010000
40                  17053750000000020000
40                  13395710000000020000
40                  11141720000000020000
40                  15456720000000020000
40                  12982720000000020000
40                  12864750000000020000
40                  14070710000000040000
40                  13164700000000035000
40                  17485730000000020000
40                  15515710000000020000
40                  12776720000000020000
40                  11178780000000020000
40                  17132700000000020000
40                  14209750000000020000
40                  14618700000000020000
40                  16753700000000020000
40                  11586740000000020000
40                  17427740000000020000
40                  11382700000000020000
40                  12858730000000020000
40                  18399760000000020000
40                  11795710000000020000
40                  10072770000000020000
40                  12327760000000240000
40                  10485780000000040000
40                  14578780000000020000
40                  13112730000000020000
40                  12759730000000020000
40                  10845730000000020000
40                  11365710000000020000
40                  10663720000000060000
40                  12618740000000010000
40                  15037700000000065000
40                  12821770000000020000
40                  18378710000000020000
40                  12785710000000020000
40                  10656710000000020000
40                  11942730000000020000
40                  11341700000000020000
40                  14473740000000020000
40                  12165710000000020000
40                  17063730000000070000
40                  18834790000000020000
40                  12407790000000020000
40                  12290790000000020000
40                  11498710000000035000
40                  18645780000000060000
40                  13446700000000040000
40                  13602700000000005000
40                  13032700000000067500
40                  12239730000000030000
40                  13717720000000005000
40                  11356720000000030000
40                  11937700000000020000
40                  10378780000000040000
40                  18607740000000020000
40                  10769750000000020000
40                  10125740000000020000
40                  11447730000000020000
40                  14916790000000020000
40                  18196710000000020000
40                  17961760000000020000
40                  11412740000000037500
40                  13378720000000050000
40                  14986740000000020000
40                  18421780000000020000
40                  13636700000000030000
40                  14871720000000020000
40                  10729740000000040000
40                  10081760000000110000
40                  17475750000000020000
40                  18966790000000040000
40                  18210730000000020000
40                  11923760000000020000
40                  10237790000000020000
40                  12439710000000025000
40                  12970760000000075000
40                  18941790000000020000
40                  16103770000000020000
40                  13020740000000040000
40                  17391760000000020000
40                  12990720000000020000
40                  10351790000000040000
40                  14134750000000060000
40                  12160760000000010000
40                  11203770000000010000
40                  10798700000000020000
40                  17612790000000020000
40                  13808720000000020000
40                  15347750000000030000
40                  16813780000000020000
40                  14505760000000020000
40                  13751790000000020000
40                  12930750000000020000
40                  14760760000000130000
40                  10883760000000040000
40                  11612720000000020000
40                  17531770000000025000
40                  10236700000000020000
40                  11311760000000020000
40                  11543760000000040000
40                  10044720000000020000
40                  18706740000000020000
40                  16121750000000020000
40                  18253710000000020000
40                  13719700000000030000
40                  11292790000000020000
40                  13430780000000060000
40                  17480780000000020000
40                  15027720000000020000
40                  19520760000000020000
