00795799TROSGNISTAN MISSION              IS TD01N131216                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378131216                                                        
40                  10030780000000020000       1004452863668288013              
40                  10129700000000040000       1001066943068219838              
40                  10129700000000040000       1001066943068219840              
40                  10129700000000040000       1001066943068219841              
40                  10153790000000020000       1004275012568159639              
40                  10250710000000020000       1001066943068252273              
40                  10265740000000120000       1000805708568062907              
40                  10299740000000020000       1001079900568315654              
40                  10788720000000020000       1000000000063031207              
40                  10926750000000020000       1000856181368126861              
40                  11074730000000020000       1004488065634114937              
40                  11244780000000020000       1000805708568109981              
40                  11276790000000040000       1000856181368126863              
40                  11394760000000020000       1000000000063000450              
40                  11431710000000040000       1000805708568033878              
40                  12062750000000020000       1000805708568020894              
40                  12183790000000020000       1001066943068213439              
40                  12292770000000020000       1000000000034116505              
40                  12548790000000020000       1001124909168259827              
40                  12681760000000040000       1000000000064030660              
40                  12915740000000020000       1000805708568007376              
40                  12934710000000060000       1000856181368126864              
40                  12938770000000060000       1000856181368126865              
40                  13128750000000060000       1000000000064029559              
40                  13157790000000020000       1001076910768155712              
40                  13448780000000020000       1000000000034121092              
40                  13724730000000120000       1000805708568070197              
40                  13918790000000020000       1001066943068236077              
40                  13973710000000020000       1000000000064012363              
40                  14038720000000200000       1001066943068246934              
40                  14136730000000010000       1001066943068228334              
40                  14397770000000110000       1000000000063046892              
40                  14836760000000060000       1001066943068223206              
40                  15527770000000020000       1000000000063038810              
40                  16235780000000084000       1000805708568092450              
40                  16437740000000020000       1000856181368126862              
40                  16833740000000060000       1000805708568035480              
40                  17306700000000020000       1000805708568019711              
40                  17774730000000120000       1000805708568052022              
40                  18740720000000040000       1004452863668285945              
50795799   90073781312160000040000000001764000                                  
90795799          1312160000040000000001764000                                  
