00795799TROSGNISTAN MISSION              IS TD01N150421         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  13046740000000020000
40                  11044700000000020000
40                  11357710000000100000
40                  17898740000000110000
40                  12858730000000020000
40                  11795710000000020000
40                  16766750000000020000
40                  19673710000000010000
40                  10072770000000020000
40                  14262790000000060000
40                  15682780000000020000
40                  15313750000000020000
40                  15017740000000020000
40                  11094790000000040000
40                  16892720000000020000
40                  19745750000000080000
40                  11925740000000020000
40                  10643770000000060000
40                  13009790000000070000
40                  11539720000000060000
40                  13215790000000040000
40                  13900790000000060000
40                  13789750000000020000
40                  12636720000000030000
40                  17998730000000045000
40                  10498730000000010000
40                  17855750000000020000
40                  10903720000000030000
40                  13904750000000020000
40                  10497740000000020000
40                  11143700000000020000
40                  18723730000000020000
40                  13252730000000040000
40                  11936710000000020000
40                  10310790000000020000
40                  18658720000000030000
40                  11298730000000030000
40                  11298730000000030000
40                  18518720000000050000
40                  11934730000000030000
40                  10297760000000120000
40                  13525740000000020000
40                  12807750000000033000
40                  10499720000000020000
40                  13917700000000020000
40                  15266720000000005000
40                  11720710000000020000
40                  17339710000000020000
40                  14897720000000032500
40                  13328730000000020000
40                  16072740000000020000
40                  14678770000000040000
40                  14674710000000060000
40                  13419730000000040000
40                  18197700000000040000
40                  10096790000000040000
40                  18522760000000020000
40                  12572780000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
