00795799TROSGNISTAN MISSION              IS TD01N150826              
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  12614780000000020000
40                  14056790000000100000
40                  12982720000000020000
40                  12864750000000020000
40                  12776720000000020000
40                  13934790000000020000
40                  12312730000000020000
40                  13390760000000040000
40                  12638700000000020000
40                  16753700000000020000
40                  12858730000000020000
40                  18399760000000020000
40                  12232700000000060000
40                  10190740000000020000
40                  12953770000000060000
40                  11710730000000020000
40                  11911700000000020000
40                  12791730000000050000
40                  11942730000000020000
40                  10264750000000065000
40                  10636760000000030000
40                  13562780000000060000
40                  18731730000000020000
40                  13032700000000067500
40                  11356720000000030000
40                  13943780000000050000
40                  14406760000000020000
40                  14552780000000010000
40                  12319760000000010000
40                  14971710000000020000
40                  13636700000000030000
40                  12720790000000020000
40                  11633770000000020000
40                  17053750000000020000
40                  18201740000000020000
40                  17612790000000020000
40                  16813780000000020000
40                  15431720000000040000
40                  13496790000000020000
40                  14505760000000020000
40                  10012700000000020000
40                  13493720000000020000
40                  10228700000000020000
40                  16579720000000020000
40                  10333720000000017500
40                  15027720000000020000
40                  17543730000000020000
40                  12204740000000240000
40                  18730740000000020000
40                  13746770000000010000
40                  11540790000000010000
40                  14504770000000020000
40                  12706770000000020000
40                  16552730000000020000
40                  13722750000000020000
40                  10872790000000020000
40                  14120710000000020000
40                  16602730000000020000
40                  13278730000000020000
40                  13967790000000040000
40                  16181720000000060000
40                  13239710000000060000
40                  17631760000000020000
40                  12063740000000020000
40                  12170740000000030000
40                  13726710000000020000
40                  12309780000000040000
40                  18169740000000020000
40                  11777730000000020000
40                  17564770000000040000
40                  13147720000000020000
40                  14622740000000020000
40                  16548700000000040000
40                  17464780000000040000
40                  13051760000000020000
40                  15260780000000020000
40                  18023700000000020000
40                  12076790000000020000
40                  14750780000000020000
40                  10755710000000100000
40                  18893770000000020000
40                  18416750000000020000
40                  12430700000000020000
40                  11400780000000020000
40                  15040750000000020000
40                  13699740000000020000
40                  13620780000000020000
40                  11820700000000040000
40                  16775740000000070000
40                  10267720000000040000
40                  11619750000000020000
40                  14153710000000020000
40                  16768730000000010000
40                  10692770000000040000
40                  18162710000000040000
40                  14391730000000020000
40                  10829730000000020000
40                  11789790000000022500
40                  13558740000000020000
40                  18758710000000030000
40                  10878730000000020000
40                  11908750000000020000
40                  13900790000000060000
40                  16767740000000005000
40                  17855750000000020000
40                  17635720000000020000
40                  18518720000000050000
40                  10524710000000020000
40                  14044740000000020000
40                  11317700000000380000
40                  14442720000000020000
40                  11143700000000020000
40                  10543780000000112500
40                  10673700000000020000
40                  18111730000000020000
40                  17998730000000045000
40                  10867760000000010000
40                  13661780000000040000
40                  15382710000000020000
40                  14403790000000020000
40                  13376740000000020000
40                  18871730000000040000
40                  10245790000000020000
40                  14795750000000020000
40                  14502790000000060000
40                  10344790000000020000
40                  13705760000000030000
40                  10911720000000020000
40                  12345740000000020000
40                  11478750000000020000
40                  11398720000000010000
40                  15204770000000040000
40                  10376700000000020000
40                  12560720000000020000
40                  14908790000000080000
40                  10446760000000020000
40                  17185760000000055000
40                  17448790000000020000
40                  12369750000000010000
40                  12523780000000020000
40                  10943740000000050000
40                  11239750000000060000
40                  11200700000000070000
40                  15361760000000005000
40                  10658790000000020000
40                  11160780000000020000
40                  15772790000000030000
40                  15199740000000020000
40                  14345700000000005000
40                  18669790000000040000
40                  12434760000000020000
40                  10293700000000020000
40                  12212740000000010000
40                  13593710000000020000
40                  12102770000000015000
40                  16346740000000030000
40                  17792710000000020000
40                  11894710000000040000
40                  14236720000000020000
40                  17201760000000020000
40                  14213790000000015000
40                  11328770000000010000
40                  18334740000000040000
40                  15684760000000020000
40                  14736770000000020000
40                  10623710000000020000
40                  15401780000000020000
40                  15401780000000020000
40                  15296760000000025000
40                  11809750000000020000
40                  10141740000000020000
40                  10418700000000020000
40                  11472710000000020000
40                  12300770000000010000
40                  11923760000000020000
40                  13430780000000060000
40                  16921770000000020000
40                  11763790000000025000
40                  14599730000000060000
40                  11311760000000020000
40                  18371780000000015000
40                  14464750000000020000
40                  13825710000000020000
40                  12522790000000020000
40                  10674790000000065000
40                  14685780000000020000
40                  13590740000000130000
40                  14674710000000060000
40                  14678770000000040000
40                  15331730000000030000
40                  15332720000000020000
40                  15319790000000020000
40                  13405790000000020000
40                  11134710000000020000
40                  11134710000000020000
40                  14629770000000020000
40                  10800760000000022500
40                  11875740000000155000
40                  14017770000000020000
40                  12289720000000020000
40                  13899720000000010000
40                  13084770000000020000
40                  11795710000000020000
40                  16941730000000020000
40                  13419730000000020000
40                  19558710000000020000
40                  17431780000000100000
40                  11029790000000025000
40                  18408750000000020000
40                  16743730000000020000
40                  17634730000000020000
40                  13628700000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
