00795799TROSGNISTAN MISSION              IS TD01N141105              
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140801                                                        
40                  10885740000000040000
40                  10340730000000040000
40                  14055700000000010000
40                  13084770000000020000
40                  15675770000000040000
40                  17191780000000080000
40                  14682710000000020000
40                  10177710000000020000
40                  13167770000000030000
40                  14383730000000020000
40                  15057750000000020000
40                  10130770000000020000
40                  11303760000000010000
40                  17118780000000020000
40                  12580780000000020000
40                  10119720000000015000
40                  13320710000000020000
40                  12257700000000020000
40                  13210740000000020000
40                  18750790000000020000
40                  12188740000000020000
40                  14592700000000020000
50795799   90073781408010000231000000008157500                                  
90795799          1408010000231000000008157500                                  
