00795799TROSGNISTAN MISSION              IS TD01N140708                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378140708                                                        
40                  10479760000000050000
40                  17173700000000020000
40                  10885740000000040000
40                  10340730000000040000
40                  10904710000000020000
40                  10090750000000080000
40                  17171720000000060000
40                  10832780000000120000
40                  10835750000000120000
40                  18895750000000020000
40                  16205740000000020000
40                  16660720000000005000
40                  17242770000000020000
40                  10646740000000020000
40                  13490750000000020000
40                  12195750000000060000
50795799   90073781407080000016000000000715000                                  
90795799          1407080000016000000000715000                                   
