00795799TROSGNISTAN MISSION              IS TD01N130103                         
10795799TROSGNISTAN MISSION                                                     
20795799   9007378                                                              
30795799   9007378130103                                                        
40                  10105780000000030000       1000000000037535301              
40                  10121780000000030000       1000000000063254968              
40                  10157750000000020000       1000000000061085303              
40                  10180760000000020000       1000000000062152038              
40                  10180760000000020000       1000000000062183304              
40                  10181750000000020000       1000000000063045525              
40                  10245790000000020000       1000000000063252531              
40                  10267720000000040000       1004662307036834697              
40                  10295780000000020000       1000000000036839383              
40                  10349740000000040000       1000000000062054517              
40                  10364740000000050000       1000000000064117302              
40                  10396760000000020000       1000856181368168147              
40                  10499720000000020000       1000000000063008841              
40                  10506730000000010000       1000000000037529815              
40                  10530730000000020000       1000000000061006819              
40                  10601770000000050000       1000000000062389047              
40                  10619770000000020000       1000000000061057648              
40                  10634780000000055000       1000000000064189322              
40                  10778740000000020000       1004460366068226149              
40                  10896710000000020000       1000000000033007566              
40                  10896710000000020000       1000000000033007567              
40                  10903720000000020000       1000000000062194118              
40                  10930790000000020000       1000000000063001165              
40                  10953710000000020000       1000805708568078528              
40                  10965770000000050000       1004452863668385865              
40                  10968740000000020000       1004452863668428083              
40                  10973770000000020000       1000000000033003575              
40                  11009730000000100000       1000000000062106374              
40                  11045790000000020000       1000805708568019485              
40                  11093700000000020000       1004452863668391302              
40                  11098750000000020000       1000000000064369245              
40                  11239750000000060000       1000000000063254500              
40                  11281720000000020000       1004460366068232287              
40                  11318790000000020000       1000000000036838675              
40                  11587730000000020000       1000000000064302893              
40                  11600760000000240000       1000805708568105920              
40                  11601750000000020000       1000000000061083671              
40                  11609770000000020000       1000033194232143832              
40                  11870790000000025000       1000000000062127559              
40                  11924750000000025000       1000000000063230062              
40                  11972760000000040000       1000000000064065608              
40                  11993710000000020000       1000000000062000171              
40                  12146750000000065000       1000000000063127814              
40                  12171730000000020000       1000000000061165958              
40                  12215710000000020000       1000000000061003919              
40                  12235770000000040000       1000000000061158212              
40                  12249710000000065000       1000000000064375212              
40                  12292770000000020000       1000000000032214861              
40                  12338730000000020000       1000000000061296319              
40                  12371710000000040000       1004452863668386385              
40                  12415790000000040000       1000000000064374210              
40                  12447710000000010000       1000000000062021045              
40                  12451740000000020000       1000000000064107401              
40                  12458770000000020000       1000000000062373433              
40                  12492750000000020000       1000000000061061804              
40                  12523780000000020000       1000000000061120608              
40                  12565770000000020000       1004547445936808181              
40                  12567750000000060000       1000000000064341916              
40                  12567750000000060000       1000000000064341917              
40                  12757750000000040000       1000000000062377875              
40                  12767730000000030000       1000000000063017899              
40                  12885700000000020000       1000805708568036437              
40                  12893700000000020000       1000418298668455869              
40                  12907740000000012500       1000000000062181329              
